,job,money,skill,ink,area,jobDes,inkDes
246,跨平台开发工程师,30k-50k,后端开发,字节跳动,[杭州·余杭区],"“扁平管理,六险一金,健身瑜伽,下午茶”","内容资讯,短视频 / D轮及以上 / 2000人以上"
247,iOS开发工程师-抖音直播,30k-50k,移动端,字节跳动,[深圳·南山区],“租房补贴，扁平管理，职业大牛，团队氛围好”,"内容资讯,短视频 / D轮及以上 / 2000人以上"
248,Android开发工程师-抖音直播,30k-50k,移动端,字节跳动,[深圳·南山区],“租房补贴，扁平管理，职业大牛，团队氛围好”,"内容资讯,短视频 / D轮及以上 / 2000人以上"
249,Android研发工程师 - 短视频产品基础体验优化（北京/上海/杭州）,30k-60k,后端开发,字节跳动,[杭州·余杭区],"“用户过亿,大牛带队”","内容资讯,短视频 / D轮及以上 / 2000人以上"
250,iOS开发（高级）工程师,20k-40k,Objective-C Swift 互联网,字节跳动,[上海·七宝],"“六险一金,股票期权,团队氛围好”","内容资讯,短视频 / D轮及以上 / 2000人以上"
251,iOS研发工程师-抖音即时通讯,40k-80k,后端开发,字节跳动,[北京·海淀区],"“下午茶,六险一金,带薪休假,扁平管理”","内容资讯,短视频 / D轮及以上 / 2000人以上"
252,Android研发工程师-抖音即时通讯,30k-60k,后端开发,字节跳动,[北京·海淀区],"“下午茶,六险一金,免费三餐,弹性工作”","内容资讯,短视频 / D轮及以上 / 2000人以上"
253,Android研发工程师-抖音-隐私合规,20k-40k,后端开发,字节跳动,[深圳·南山区],"“下午茶,健身瑜伽,六险一金,五险一金”","内容资讯,短视频 / D轮及以上 / 2000人以上"
254,iOS研发工程师-抖音-隐私合规,20k-40k,后端开发,字节跳动,[深圳·南山区],"“下午茶,健身瑜伽,六险一金,五险一金”","内容资讯,短视频 / D轮及以上 / 2000人以上"
255,Android研发工程师 — 抖音基础技术,30k-60k,后端开发,字节跳动,[上海·闵行区],"“下午茶,健身瑜伽,股票期权,团队氛围好”","内容资讯,短视频 / D轮及以上 / 2000人以上"
256,Android研发工程师 - 短视频产品基础体验优化（北京/上海/杭州）,30k-60k,后端开发,字节跳动,[上海·闵行区],"“下午茶,健身瑜伽,股票期权,团队氛围好”","内容资讯,短视频 / D轮及以上 / 2000人以上"
257,IOS研发工程师 — 商业化,25k-50k,后端开发,字节跳动,[北京·海淀区],"“下午茶,健身瑜伽,六险一金,五险一金”","内容资讯,短视频 / D轮及以上 / 2000人以上"
258,Android开发（高级）工程师,20k-40k,JAVA Kotlin Flutter 互联网,字节跳动,[上海·七宝],"“六险一金,团队氛围好,晋升空间大”","内容资讯,短视频 / D轮及以上 / 2000人以上"
259,高级Android研发工程师-抖音开放平台,25k-50k,后端开发,字节跳动,[北京·海淀区],"“下午茶,健身瑜伽,六险一金,股票期权”","内容资讯,短视频 / D轮及以上 / 2000人以上"
260,Android开发实习生-技术中台,6k-12k,后端开发,字节跳动,[深圳·南山区],"“下午茶,健身瑜伽,团队氛围好,大牛带队”","内容资讯,短视频 / D轮及以上 / 2000人以上"
